Index	Label	Type	Name	ID	Integral [a.u.]	Area [pixel]	Bkg [a.u.]	Integral-Bkg [a.u.]	Integral/Area [a.u./pixel]	Integral/Area-Bkg [a.u./pixel]	Median [a.u.]	Median-Bkg [a.u.]	Normalized [%]	Normalized-Bkg [%]	Average [a.u.]	Average-Bkg [a.u.]	Average [%]	Average-Bkg [%]	Deviation [a.u.]	Deviation [%]	Deviation-Bkg [a.u.]	Deviation-Bkg [%]	Homogeneity [%]	Quality
23	1-2,1			184O20	8.3419189453	61	0.8484115601	7.4935073853	0.1367527696	0.1228443834	0.1371154785	0.1232070923	--	--	--	--	--	--	--	--	--	--	2.2	
24	1-2,2			181L7	1.6257171631	61	0.7613830566	0.8643341064	0.0266511010	0.0141694116	0.0254974365	0.0130157471	--	--	--	--	--	--	--	--	--	--	5.8	
25	1-2,3			176P17	4.5078582764	61	0.8386383057	3.6692199707	0.0738993160	0.0601511471	0.0760498047	0.0623016357	--	--	--	--	--	--	--	--	--	--	2.7	
26	1-2,4			emptywell	3.4005737305	61	0.9642944336	2.4362792969	0.0557471103	0.0399390049	0.0518798828	0.0360717773	--	--	--	--	--	--	--	--	--	--	4.8	
27	1-2,5			196H20	1.1396636963	61	0.9656906128	0.1739730835	0.0186830114	0.0028520178	0.0185089111	0.0026779175	--	--	--	--	--	--	--	--	--	--	15.3	
28	1-2,6			164C7	2.4333343506	61	0.8316574097	1.6016769409	0.0398907271	0.0262569990	0.0382080078	0.0245742798	--	--	--	--	--	--	--	--	--	--	12.0	
29	1-2,7			130K20	1.4626159668	61	0.7064666748	0.7561492920	0.0239773109	0.0123958900	0.0240631104	0.0124816895	--	--	--	--	--	--	--	--	--	--	5.4	
30	1-2,8			126H8	1.3272857666	61	0.7101898193	0.6170959473	0.0217587831	0.0101163270	0.0213165283	0.0096740723	--	--	--	--	--	--	--	--	--	--	15.2	
31	1-2,9			122G20	1.6798553467	61	0.7725524902	0.9073028564	0.0275386122	0.0148738173	0.0267791748	0.0141143799	--	--	--	--	--	--	--	--	--	--	0.7	
32	1-2,10			120K7	1.2607116699	61	0.7818603516	0.4788513184	0.0206674044	0.0078500216	0.0201416016	0.0073242188	--	--	--	--	--	--	--	--	--	--	18.9	
33	1-2,11			116C17	1.5293273926	61	0.8069915771	0.7223358154	0.0250709409	0.0118415707	0.0244293213	0.0111999512	--	--	--	--	--	--	--	--	--	--	0.8	
34	1-2,12			112O8	1.5513610840	61	0.7688293457	0.7825317383	0.0254321489	0.0128283892	0.0254974365	0.0128936768	--	--	--	--	--	--	--	--	--	--	2.3	
35	1-2,13			111J21	1.5412445068	61	0.7930297852	0.7482147217	0.0252663034	0.0122658151	0.0249023438	0.0119018555	--	--	--	--	--	--	--	--	--	--	4.3	
36	1-2,14			107C7	1.4172821045	61	0.7762756348	0.6410064697	0.0232341329	0.0105083028	0.0237121582	0.0109863281	--	--	--	--	--	--	--	--	--	--	6.7	
37	1-2,15			104K20	2.1267395020	61	0.7418365479	1.3849029541	0.0348645820	0.0227033271	0.0354766846	0.0233154297	--	--	--	--	--	--	--	--	--	--	2.9	
38	1-2,16			100G14	1.9694976807	61	0.7409057617	1.2285919189	0.0322868472	0.0201408511	0.0337829590	0.0216369629	--	--	--	--	--	--	--	--	--	--	2.6	
39	1-2,17			82M20	1.7443695068	61	0.7278747559	1.0164947510	0.0285962214	0.0166638484	0.0282745361	0.0163421631	--	--	--	--	--	--	--	--	--	--	6.4	
40	1-2,18			71L14	3.2048339844	61	0.6543426514	2.5504913330	0.0525382620	0.0418113333	0.0553131104	0.0445861816	--	--	--	--	--	--	--	--	--	--	4.2	
41	1-2,19			62E23	1.8531951904	61	0.7334594727	1.1197357178	0.0303802490	0.0183563232	0.0265808105	0.0145568848	--	--	--	--	--	--	--	--	--	--	44.9	
42	1-2,20			33L4	4.2804718018	61	0.8144378662	3.4660339355	0.0701716689	0.0568202285	0.0717010498	0.0583496094	--	--	--	--	--	--	--	--	--	--	2.5	
43	1-2,21			21I19	4.3566741943	61	0.8567886353	3.4998855591	0.0714208884	0.0573751731	0.0704956055	0.0564498901	--	--	--	--	--	--	--	--	--	--	7.0	
44	1-2,22			8K8	2.5768280029	61	0.8041992188	1.7726287842	0.0422430820	0.0290594883	0.0423889160	0.0292053223	--	--	--	--	--	--	--	--	--	--	0.7	
45	1-3,1			187C13	2.3835906982	61	0.7990798950	1.5845108032	0.0390752573	0.0259755869	0.0384063721	0.0253067017	--	--	--	--	--	--	--	--	--	--	6.0	
46	1-3,2			181I13	1.2579956055	61	0.7827911377	0.4752044678	0.0206228788	0.0077902372	0.0204772949	0.0076446533	--	--	--	--	--	--	--	--	--	--	7.1	
47	1-3,3			176G1	1.9834289551	61	0.8218841553	1.1615447998	0.0325152288	0.0190417180	0.0337371826	0.0202636719	--	--	--	--	--	--	--	--	--	--	7.2	
48	1-3,4			emptywell	1.3112792969	61	0.9373016357	0.3739776611	0.0214963819	0.0061307813	0.0218048096	0.0064392090	--	--	--	--	--	--	--	--	--	--	1.9	
49	1-3,5			196L2	1.6470336914	61	0.9019317627	0.7451019287	0.0270005523	0.0122147857	0.0260009766	0.0112152100	--	--	--	--	--	--	--	--	--	--	11.1	
50	1-3,6			190C18	4.3419647217	61	0.8377075195	3.5042572021	0.0711797495	0.0574468394	0.0708160400	0.0570831299	--	--	--	--	--	--	--	--	--	--	15.8	
51	1-3,7			131E13	1.9265289307	61	0.7911682129	1.1353607178	0.0315824415	0.0186124708	0.0307159424	0.0177459717	--	--	--	--	--	--	--	--	--	--	1.2	
52	1-3,8			126G14	1.2719268799	61	0.7762756348	0.4956512451	0.0208512603	0.0081254302	0.0209655762	0.0082397461	--	--	--	--	--	--	--	--	--	--	9.5	
53	1-3,9			124C18	1.3023071289	61	0.7167053223	0.5856018066	0.0213492972	0.0096000296	0.0205688477	0.0088195801	--	--	--	--	--	--	--	--	--	--	2.2	
54	1-3,10			119K14	1.3046112061	61	0.7776718140	0.5269393921	0.0213870690	0.0086383507	0.0208740234	0.0081253052	--	--	--	--	--	--	--	--	--	--	8.8	
55	1-3,11			116H2	1.5221710205	61	0.7753448486	0.7468261719	0.0249536233	0.0122430520	0.0247802734	0.0120697021	--	--	--	--	--	--	--	--	--	--	1.1	
56	1-3,12			112O14	3.4900817871	61	0.7585906982	2.7314910889	0.0572144555	0.0447785424	0.0571594238	0.0447235107	--	--	--	--	--	--	--	--	--	--	0.7	
57	1-3,13			110G1	1.2884521484	61	0.7506790161	0.5377731323	0.0211221664	0.0088159530	0.0209045410	0.0085983276	--	--	--	--	--	--	--	--	--	--	4.6	
58	1-3,14			108A14	1.5641174316	61	0.7832565308	0.7808609009	0.0256412694	0.0128009984	0.0245666504	0.0117263794	--	--	--	--	--	--	--	--	--	--	0.3	
59	1-3,15			104O2	1.3804779053	61	0.7436981201	0.6367797852	0.0226307853	0.0104390129	0.0230712891	0.0108795166	--	--	--	--	--	--	--	--	--	--	2.0	
60	1-3,16			98G13	1.5693664551	61	0.7576599121	0.8117065430	0.0257273189	0.0133066646	0.0231475830	0.0107269287	--	--	--	--	--	--	--	--	--	--	39.1	
61	1-3,17			91M15	2.3440856934	61	0.7474212646	1.5966644287	0.0384276343	0.0261748267	0.0393676758	0.0271148682	--	--	--	--	--	--	--	--	--	--	0.5	
62	1-3,18			72L13	1.6641387939	61	0.7125167847	0.9516220093	0.0272809638	0.0156003608	0.0171508789	0.0054702759	--	--	--	--	--	--	--	--	--	--	39.3	
63	1-3,19			62F3	1.8115081787	61	0.8000106812	1.0114974976	0.0296968554	0.0165819262	0.0293731689	0.0162582397	--	--	--	--	--	--	--	--	--	--	1.7	
64	1-3,20			33M13	6.6411437988	61	0.8232803345	5.8178634644	0.1088712098	0.0953748109	0.1115112305	0.0980148315	--	--	--	--	--	--	--	--	--	--	3.0	
65	1-3,21			20P2	4.1508789062	61	0.7734832764	3.3773956299	0.0680471952	0.0553671415	0.0680236816	0.0553436279	--	--	--	--	--	--	--	--	--	--	1.4	
66	1-3,22			8D18	2.5130462646	61	0.8763351440	1.6367111206	0.0411974797	0.0268313298	0.0405578613	0.0261917114	--	--	--	--	--	--	--	--	--	--	2.5	
67	1-4,1			187D10	1.5010070801	61	0.8316574097	0.6693496704	0.0246066734	0.0109729454	0.0239715576	0.0103378296	--	--	--	--	--	--	--	--	--	--	5.0	
68	1-4,2			181I19	7.8516235352	61	0.8674926758	6.9841308594	0.1287151399	0.1144939485	0.1172332764	0.1030120850	--	--	--	--	--	--	--	--	--	--	7.1	
69	1-4,3			176H7	2.0909118652	61	0.8758697510	1.2150421143	0.0342772437	0.0199187232	0.0337219238	0.0193634033	--	--	--	--	--	--	--	--	--	--	9.2	
70	1-4,4			emptywell	1.2930603027	61	0.9047241211	0.3883361816	0.0211977099	0.0063661669	0.0208435059	0.0060119629	--	--	--	--	--	--	--	--	--	--	6.0	
71	1-4,5			196K10	1.5740509033	61	0.8688888550	0.7051620483	0.0258041132	0.0115600336	0.0248107910	0.0105667114	--	--	--	--	--	--	--	--	--	--	1.5	
72	1-4,6			164D20	1.7405700684	61	0.7967529297	0.9438171387	0.0285339355	0.0154724121	0.0249633789	0.0119018555	--	--	--	--	--	--	--	--	--	--	27.8	
73	1-4,7			131F7	1.5157928467	61	0.8283996582	0.6873931885	0.0248490631	0.0112687408	0.0244445801	0.0108642578	--	--	--	--	--	--	--	--	--	--	1.7	
74	1-4,8			126G21	1.5432739258	61	0.7343902588	0.8088836670	0.0252995726	0.0132603880	0.0254821777	0.0134429932	--	--	--	--	--	--	--	--	--	--	5.6	
75	1-4,9			124C7	1.3732299805	61	0.7404403687	0.6327896118	0.0225119669	0.0103736002	0.0214691162	0.0093307495	--	--	--	--	--	--	--	--	--	--	0.1	
76	1-4,10			120K19	1.9165344238	61	0.8153686523	1.1011657715	0.0314185971	0.0180518979	0.0306854248	0.0173187256	--	--	--	--	--	--	--	--	--	--	5.8	
77	1-4,11			117G8	1.3396453857	61	0.8162994385	0.5233459473	0.0219613998	0.0085794418	0.0225677490	0.0091857910	--	--	--	--	--	--	--	--	--	--	39.9	
78	1-4,12			112O20	2.0946502686	61	0.7786026001	1.3160476685	0.0343385290	0.0215745519	0.0347900391	0.0220260620	--	--	--	--	--	--	--	--	--	--	1.9	
79	1-4,13			110L8	1.3943939209	61	0.7222900391	0.6721038818	0.0228589167	0.0110180964	0.0228424072	0.0110015869	--	--	--	--	--	--	--	--	--	--	5.3	
80	1-4,14			108A20	2.0350341797	61	0.7129821777	1.3220520020	0.0333612161	0.0216729836	0.0316925049	0.0200042725	--	--	--	--	--	--	--	--	--	--	5.3	
81	1-4,15			103O8	1.4419708252	61	0.7613830566	0.6805877686	0.0236388660	0.0111571765	0.0248413086	0.0123596191	--	--	--	--	--	--	--	--	--	--	2.2	
82	1-4,16			99H19	1.6984405518	61	0.7483520508	0.9500885010	0.0278432877	0.0155752213	0.0275421143	0.0152740479	--	--	--	--	--	--	--	--	--	--	20.6	
83	1-4,17			92C9	2.0215301514	61	0.7427673340	1.2787628174	0.0331398385	0.0209633249	0.0349731445	0.0227966309	--	--	--	--	--	--	--	--	--	--	0.6	
84	1-4,18			71L19	3.7582855225	61	0.7604522705	2.9978332520	0.0616112381	0.0491448074	0.0607299805	0.0482635498	--	--	--	--	--	--	--	--	--	--	9.4	
85	1-4,19			61H7	1.7979736328	61	0.8386383057	0.9593353271	0.0294749776	0.0157268086	0.0221099854	0.0083618164	--	--	--	--	--	--	--	--	--	--	64.5	
86	1-4,20			33B13	4.6977996826	61	1.0322418213	3.6655578613	0.0770131096	0.0600911125	0.0802307129	0.0633087158	--	--	--	--	--	--	--	--	--	--	9.4	
87	1-4,21			18L7	4.6311187744	61	0.8465499878	3.7845687866	0.0759199799	0.0620421113	0.0760498047	0.0621719360	--	--	--	--	--	--	--	--	--	--	0.9	
88	1-4,22			8C24	2.1918945312	61	0.7641754150	1.4277191162	0.0359326972	0.0234052314	0.0357666016	0.0232391357	--	--	--	--	--	--	--	--	--	--	8.6	
89	1-5,1			187E6	2.0329284668	61	0.7381134033	1.2948150635	0.0333266962	0.0212264765	0.0331573486	0.0210571289	--	--	--	--	--	--	--	--	--	--	6.4	
90	1-5,2			181L6	1.8791961670	61	0.7920989990	1.0870971680	0.0308064945	0.0178212650	0.0297393799	0.0167541504	--	--	--	--	--	--	--	--	--	--	1.7	
91	1-5,3			177J13	1.6601867676	61	0.8246765137	0.8355102539	0.0272161765	0.0136968894	0.0250549316	0.0115356445	--	--	--	--	--	--	--	--	--	--	14.4	
92	1-5,4			169A1	1.6990509033	61	0.8577194214	0.8413314819	0.0278532935	0.0137923194	0.0268249512	0.0127639771	--	--	--	--	--	--	--	--	--	--	12.7	
93	1-5,5			21C10	1.4884185791	61	0.7995452881	0.6888732910	0.0244003046	0.0112930048	0.0235900879	0.0104827881	--	--	--	--	--	--	--	--	--	--	19.0	
94	1-5,6			164K2	3.2799072266	61	0.8493423462	2.4305648804	0.0537689709	0.0398453259	0.0532073975	0.0392837524	--	--	--	--	--	--	--	--	--	--	0.9	
95	1-5,7			131D15	1.7138214111	61	0.8404998779	0.8733215332	0.0280954330	0.0143167464	0.0287475586	0.0149688721	--	--	--	--	--	--	--	--	--	--	4.6	
96	1-5,8			126L2	1.6172027588	61	0.8074569702	0.8097457886	0.0265115206	0.0132745211	0.0263366699	0.0130996704	--	--	--	--	--	--	--	--	--	--	3.6	
97	1-5,9			124C13	1.2890014648	61	0.7204284668	0.5685729980	0.0211311716	0.0093208688	0.0216674805	0.0098571777	--	--	--	--	--	--	--	--	--	--	12.7	
98	1-5,10			119P1	1.6028594971	61	0.7809295654	0.8219299316	0.0262763852	0.0134742612	0.0260620117	0.0132598877	--	--	--	--	--	--	--	--	--	--	0.5	
99	1-5,11			117N5	1.7048950195	61	0.7720870972	0.9328079224	0.0279490987	0.0152919332	0.0283660889	0.0157089233	--	--	--	--	--	--	--	--	--	--	10.9	
100	1-5,12			113C1	1.4535980225	61	0.7362518311	0.7173461914	0.0238294758	0.0117597736	0.0238037109	0.0117340088	--	--	--	--	--	--	--	--	--	--	3.2	
101	1-5,13			111L10	1.5342712402	61	0.8069915771	0.7272796631	0.0251519875	0.0119226174	0.0254821777	0.0122528076	--	--	--	--	--	--	--	--	--	--	13.2	
102	1-5,14			108B2	1.6584320068	61	0.8079223633	0.8505096436	0.0271874099	0.0139427810	0.0267028809	0.0134582520	--	--	--	--	--	--	--	--	--	--	27.0	
103	1-5,15			103O14	1.6038360596	61	0.7678985596	0.8359375000	0.0262923944	0.0137038934	0.0269470215	0.0143585205	--	--	--	--	--	--	--	--	--	--	2.0	
104	1-5,16			101K4	2.1048583984	61	0.7390441895	1.3658142090	0.0345058754	0.0223903969	0.0336914062	0.0215759277	--	--	--	--	--	--	--	--	--	--	6.6	
105	1-5,17			91G13	2.5909881592	61	0.7557983398	1.8351898193	0.0424752157	0.0300850790	0.0447387695	0.0323486328	--	--	--	--	--	--	--	--	--	--	4.4	
106	1-5,18			70O4	8.9628753662	61	0.7483520508	8.2145233154	0.1469323831	0.1346643166	0.1493377686	0.1370697021	--	--	--	--	--	--	--	--	--	--	3.5	
107	1-5,19			62E2	4.5622100830	61	0.7874450684	3.7747650146	0.0747903292	0.0618813937	0.0743560791	0.0614471436	--	--	--	--	--	--	--	--	--	--	5.2	
108	1-5,20			48A2	5.5101165771	61	0.8228149414	4.6873016357	0.0903297800	0.0768410104	0.0911102295	0.0776214600	--	--	--	--	--	--	--	--	--	--	0.2	
109	1-5,21			21B5	5.0269470215	61	0.9144973755	4.1124496460	0.0824089676	0.0674172073	0.0830841064	0.0680923462	--	--	--	--	--	--	--	--	--	--	0.5	
110	1-5,22			8H6	4.0676574707	61	0.7902374268	3.2774200439	0.0666829094	0.0537281974	0.0664520264	0.0534973145	--	--	--	--	--	--	--	--	--	--	2.4	
111	1-6,1			187F5	4.5931549072	61	0.8181610107	3.7749938965	0.0752976214	0.0618851458	0.0736694336	0.0602569580	--	--	--	--	--	--	--	--	--	--	8.7	
112	1-6,2			181O19	5.4476165771	61	0.8358459473	4.6117706299	0.0893051898	0.0756027972	0.0894317627	0.0757293701	--	--	--	--	--	--	--	--	--	--	5.0	
113	1-6,3			177J19	1.5220031738	61	0.8907623291	0.6312408447	0.0249508717	0.0103482106	0.0253448486	0.0107421875	--	--	--	--	--	--	--	--	--	--	5.8	
114	1-6,4			169A7	1.9261627197	61	0.8274688721	1.0986938477	0.0315764380	0.0180113746	0.0313415527	0.0177764893	--	--	--	--	--	--	--	--	--	--	2.3	
115	1-6,5			196L20	1.3015441895	61	0.8339843750	0.4675598145	0.0213367900	0.0076649150	0.0217285156	0.0080566406	--	--	--	--	--	--	--	--	--	--	13.9	
116	1-6,6			190G12	2.5774688721	61	0.8521347046	1.7253341675	0.0422535881	0.0282841667	0.0429077148	0.0289382935	--	--	--	--	--	--	--	--	--	--	4.9	
117	1-6,7			131D21	1.5259094238	61	0.8432922363	0.6826171875	0.0250149086	0.0111904457	0.0246582031	0.0108337402	--	--	--	--	--	--	--	--	--	--	3.2	
118	1-6,8			126K8	1.7758636475	61	0.8023376465	0.9735260010	0.0291125188	0.0159594426	0.0285644531	0.0154113770	--	--	--	--	--	--	--	--	--	--	0.8	
119	1-6,9			124C19	1.2987365723	61	0.7934951782	0.5052413940	0.0212907635	0.0082826458	0.0211944580	0.0081863403	--	--	--	--	--	--	--	--	--	--	2.1	
120	1-6,10			120O7	1.3632507324	61	0.7483520508	0.6148986816	0.0223483727	0.0100803063	0.0222473145	0.0099792480	--	--	--	--	--	--	--	--	--	--	3.0	
121	1-6,11			117G20	1.4646301270	61	0.7530059814	0.7116241455	0.0240103300	0.0116659696	0.0244445801	0.0121002197	--	--	--	--	--	--	--	--	--	--	2.4	
122	1-6,12			114E14	1.4945983887	61	0.7427673340	0.7518310547	0.0245016129	0.0123250993	0.0237579346	0.0115814209	--	--	--	--	--	--	--	--	--	--	7.8	
123	1-6,13			111L16	1.3469390869	61	0.7739486694	0.5729904175	0.0220809686	0.0093932855	0.0226898193	0.0100021362	--	--	--	--	--	--	--	--	--	--	19.0	
124	1-6,14			108E8	1.7424621582	61	0.7083282471	1.0341339111	0.0285649534	0.0169530149	0.0289916992	0.0173797607	--	--	--	--	--	--	--	--	--	--	5.0	
125	1-6,15			104O17	1.5280456543	61	0.7790679932	0.7489776611	0.0250499288	0.0122783223	0.0247802734	0.0120086670	--	--	--	--	--	--	--	--	--	--	5.3	
126	1-6,16			99K10	1.9130401611	61	0.7758102417	1.1372299194	0.0313613141	0.0186431134	0.0306549072	0.0179367065	--	--	--	--	--	--	--	--	--	--	2.7	
127	1-6,17			91C21	2.8740692139	61	0.7534713745	2.1205978394	0.0471158888	0.0347638990	0.0502319336	0.0378799438	--	--	--	--	--	--	--	--	--	--	3.3	
128	1-6,18			70P7	2.5509948730	61	0.7278747559	1.8231201172	0.0418195881	0.0298872150	0.0420227051	0.0300903320	--	--	--	--	--	--	--	--	--	--	3.7	
129	1-6,19			61G14	1.8412170410	61	0.7986145020	1.0426025391	0.0301838859	0.0170918449	0.0311126709	0.0180206299	--	--	--	--	--	--	--	--	--	--	32.0	
130	1-6,20			46D7	9.4942474365	61	0.7939605713	8.7002868652	0.1556434006	0.1426276535	0.1586608887	0.1456451416	--	--	--	--	--	--	--	--	--	--	2.6	
131	1-6,21			19L21	3.3028259277	61	0.8153686523	2.4874572754	0.0541446873	0.0407779881	0.0539855957	0.0406188965	--	--	--	--	--	--	--	--	--	--	4.6	
132	1-6,22			7G5	2.9255371094	61	0.8051300049	2.1204071045	0.0479596247	0.0347607722	0.0484771729	0.0352783203	--	--	--	--	--	--	--	--	--	--	0.8	
133	1-7,1			188B1	5.6494750977	61	0.8279342651	4.8215408325	0.0926143459	0.0790416530	0.0922241211	0.0786514282	--	--	--	--	--	--	--	--	--	--	9.8	
134	1-7,2			181O8	2.8401641846	61	0.8749389648	1.9652252197	0.0465600686	0.0322168069	0.0455627441	0.0312194824	--	--	--	--	--	--	--	--	--	--	3.3	
135	1-7,3			176L2	11.0210113525	61	0.9075164795	10.1134948730	0.1806723173	0.1657949979	0.1684417725	0.1535644531	--	--	--	--	--	--	--	--	--	--	7.1	
136	1-7,4			169C16	4.1180877686	61	0.7948913574	3.3231964111	0.0675096356	0.0544786297	0.0631561279	0.0501251221	--	--	--	--	--	--	--	--	--	--	9.7	
137	1-7,5			196O4	33.6778869629	61	0.8111801147	32.8667068481	0.5520965076	0.5387984729	0.5653228760	0.5520248413	--	--	--	--	--	--	--	--	--	--	0.2	
138	1-7,6			190G11	1.9481506348	61	0.7907028198	1.1574478149	0.0319368957	0.0189745543	0.0328826904	0.0199203491	--	--	--	--	--	--	--	--	--	--	11.3	
139	1-7,7			145F4	2.2385253906	61	0.8372421265	1.4012832642	0.0366971376	0.0229718568	0.0368499756	0.0231246948	--	--	--	--	--	--	--	--	--	--	3.1	
140	1-7,8			126K14	1.7470703125	61	0.8079223633	0.9391479492	0.0286404969	0.0153958680	0.0291748047	0.0159301758	--	--	--	--	--	--	--	--	--	--	1.0	
141	1-7,9			124H7	1.8615417480	61	0.8000106812	1.0615310669	0.0305170778	0.0174021486	0.0306701660	0.0175552368	--	--	--	--	--	--	--	--	--	--	1.5	
142	1-7,10			120O13	1.5013580322	61	0.7893066406	0.7120513916	0.0246124268	0.0116729736	0.0249633789	0.0120239258	--	--	--	--	--	--	--	--	--	--	11.1	
143	1-7,11			117L3	1.9165496826	61	0.7539367676	1.1626129150	0.0314188473	0.0190592281	0.0314483643	0.0190887451	--	--	--	--	--	--	--	--	--	--	4.9	
144	1-7,12			113C13	1.2849426270	61	0.6952972412	0.5896453857	0.0210646332	0.0096663178	0.0218353271	0.0104370117	--	--	--	--	--	--	--	--	--	--	15.0	
145	1-7,13			110P1	1.6879425049	61	0.7409057617	0.9470367432	0.0276711886	0.0155251925	0.0271911621	0.0150451660	--	--	--	--	--	--	--	--	--	--	6.4	
146	1-7,14			108H13	1.5751800537	61	0.6962280273	0.8789520264	0.0258226238	0.0144090496	0.0254211426	0.0140075684	--	--	--	--	--	--	--	--	--	--	0.2	
147	1-7,15			105D1	1.9628448486	61	0.6966934204	1.2661514282	0.0321777844	0.0207565808	0.0318908691	0.0204696655	--	--	--	--	--	--	--	--	--	--	2.6	
148	1-7,16			99K16	1.6570892334	61	0.7790679932	0.8780212402	0.0271653973	0.0143937908	0.0207061768	0.0079345703	--	--	--	--	--	--	--	--	--	--	23.0	
149	1-7,17			91I1	2.9679107666	61	0.7036743164	2.2642364502	0.0486542749	0.0371186303	0.0479431152	0.0364074707	--	--	--	--	--	--	--	--	--	--	4.7	
150	1-7,18			71P20	2.9251556396	61	0.6813354492	2.2438201904	0.0479533711	0.0367839375	0.0483093262	0.0371398926	--	--	--	--	--	--	--	--	--	--	3.9	
151	1-7,19			63L5	3.0301361084	61	0.7385787964	2.2915573120	0.0496743624	0.0375665133	0.0503082275	0.0382003784	--	--	--	--	--	--	--	--	--	--	1.5	
152	1-7,20			50C15	5.9073333740	61	0.8088531494	5.0984802246	0.0968415307	0.0835816430	0.0973663330	0.0841064453	--	--	--	--	--	--	--	--	--	--	5.2	
153	1-7,21			18P2	2.6966400146	61	0.7897720337	1.9068679810	0.0442072134	0.0312601308	0.0458221436	0.0328750610	--	--	--	--	--	--	--	--	--	--	3.6	
